,DATE,WILLREITIND,Index
760,1980/11/28,229.23,229.23
761,1980/12/1,229.23,229.23
762,1980/12/2,229.23,.
763,1980/12/3,229.23,.
764,1980/12/4,229.23,.
765,1980/12/5,229.23,.
766,1980/12/8,229.23,.
767,1980/12/9,229.23,.
768,1980/12/10,229.23,.
769,1980/12/11,229.23,.
770,1980/12/12,229.23,.
771,1980/12/15,229.23,.
772,1980/12/16,229.23,.
773,1980/12/17,229.23,.
774,1980/12/18,229.23,.
775,1980/12/19,229.23,.
776,1980/12/22,229.23,.
777,1980/12/23,229.23,.
778,1980/12/24,229.23,.
779,1980/12/25,229.23,.
780,1980/12/26,229.23,.
781,1980/12/29,229.23,.
782,1980/12/30,229.23,.
783,1980/12/31,220.11,220.11
784,1981/1/1,220.11,220.11
785,1981/1/2,220.11,.
786,1981/1/5,220.11,.
787,1981/1/6,220.11,.
788,1981/1/7,220.11,.
789,1981/1/8,220.11,.
790,1981/1/9,220.11,.
791,1981/1/12,220.11,.
792,1981/1/13,220.11,.
793,1981/1/14,220.11,.
794,1981/1/15,220.11,.
795,1981/1/16,220.11,.
796,1981/1/19,220.11,.
797,1981/1/20,220.11,.
798,1981/1/21,220.11,.
799,1981/1/22,220.11,.
800,1981/1/23,220.11,.
801,1981/1/26,220.11,.
802,1981/1/27,220.11,.
803,1981/1/28,220.11,.
804,1981/1/29,220.11,.
805,1981/1/30,222.95,222.95
806,1981/2/2,222.95,222.95
807,1981/2/3,222.95,.
808,1981/2/4,222.95,.
809,1981/2/5,222.95,.
810,1981/2/6,222.95,.
811,1981/2/9,222.95,.
812,1981/2/10,222.95,.
813,1981/2/11,222.95,.
814,1981/2/12,222.95,.
815,1981/2/13,222.95,.
816,1981/2/16,222.95,.
817,1981/2/17,222.95,.
818,1981/2/18,222.95,.
819,1981/2/19,222.95,.
820,1981/2/20,222.95,.
821,1981/2/23,222.95,.
822,1981/2/24,222.95,.
823,1981/2/25,222.95,.
824,1981/2/26,222.95,.
825,1981/2/27,225.04,225.04
826,1981/3/2,225.04,225.04
827,1981/3/3,225.04,.
828,1981/3/4,225.04,.
